Store Number,Annual Revenue,Annual Operational Costs,Median Income,Format
1733,178500,103900,58500,Drive-thru
1734,225200,103900,66100,Drive-thru
1735,234700,103900,69700,Drive-thru
1736,242700,104000,63100,Drive-thru
1737,182300,103900,65500,Drive-thru
1738,169000,103900,57100,Drive-thru
1739,192000,103900,58600,Drive-thru
1740,211600,103900,64800,Drive-thru
1741,217200,103900,63000,Drive-thru
1742,214100,103900,64300,Drive-thru
1743,214300,104000,75300,Drive-thru
1744,260300,103900,77200,Drive-thru
1745,209700,103900,64800,Drive-thru
1746,232100,103900,74700,Drive-thru
1747,215100,103900,66800,Drive-thru
1748,230400,103900,80500,Drive-thru
1749,240000,103900,70900,Drive-thru
1750,280600,103900,77500,Drive-thru
1751,194400,103900,68700,Drive-thru
1752,229300,103900,64000,Drive-thru
1753,219800,103900,62900,Drive-thru
1754,268800,103900,86000,Drive-thru
1755,188700,103900,69400,Drive-thru
1756,262200,103900,73600,Drive-thru
1757,248000,103900,70700,Drive-thru
1758,238100,103900,73800,Drive-thru
1759,188700,103900,64900,Drive-thru
1760,237900,103900,81900,Drive-thru
1761,194400,103900,64600,Drive-thru
1762,272200,103900,64200,Drive-thru
1763,189000,103900,71100,Drive-thru
1764,236900,103900,83200,Drive-thru
1765,206600,103900,69700,Drive-thru
1766,276800,103900,89000,Drive-thru
1767,147300,103900,48700,Drive-thru
1768,253500,103900,75200,Drive-thru
1769,226900,103900,61200,Drive-thru
1770,230700,103900,71200,Drive-thru
1771,255400,103900,83500,Drive-thru
1772,273900,104000,77200,Drive-thru
1773,238900,103900,84500,Drive-thru
1774,216500,104000,64700,Drive-thru
1775,213500,103900,68500,Drive-thru
1776,223200,103900,64200,Drive-thru
1777,205600,103900,62100,Drive-thru
1778,215200,103900,67900,Drive-thru
1779,204800,103900,67100,Drive-thru
1780,243400,103900,72200,Drive-thru
1781,215100,103900,69200,Drive-thru
1782,234300,103900,68200,Drive-thru
1783,165500,103900,66300,Drive-thru
1784,265900,103900,80100,Drive-thru
1785,252700,104000,80100,Drive-thru
1786,230600,103900,64200,Drive-thru
1787,257100,103900,72400,Drive-thru
1788,224700,103900,75900,Drive-thru
1789,145600,103900,50100,Drive-thru
1790,220500,103900,53600,Drive-thru
1791,234700,104000,76600,Drive-thru
1792,186500,103900,59200,Drive-thru
1793,194500,103900,57900,Drive-thru
1794,174100,104000,71300,Drive-thru
1795,200800,103900,64100,Drive-thru
1796,239700,103900,74800,Drive-thru
1797,234500,103900,68600,Drive-thru
1798,255500,103900,78600,Drive-thru
1799,161100,103900,54900,Drive-thru
1800,216700,103900,76600,Drive-thru
1801,211200,104000,72800,Drive-thru
1802,235900,103900,75300,Drive-thru
1803,227000,103900,60000,Drive-thru
1804,134500,103900,39700,Drive-thru
1805,233100,103900,76800,Drive-thru
1806,226800,103900,64300,Drive-thru
1807,204700,103900,71200,Drive-thru
1808,187200,103900,50600,Drive-thru
1809,252200,103900,79900,Drive-thru
1810,258500,103900,76500,Drive-thru
1811,210800,103900,56400,Drive-thru
1812,236900,103900,70700,Drive-thru
1813,231200,104000,58700,Drive-thru
1814,260200,103900,91600,Drive-thru
1815,256700,104000,79000,Drive-thru
1816,188100,104000,56600,Drive-thru
1817,171100,103900,49900,Drive-thru
1818,192700,103900,69400,Drive-thru
1819,309300,103900,87100,Drive-thru
1820,205100,103900,76200,Drive-thru
1821,198200,103900,72800,Drive-thru
1822,207500,104000,64800,Drive-thru
1823,195200,103900,76100,Drive-thru
1824,222400,103900,76500,Drive-thru
1825,174500,103900,44300,Drive-thru
1826,239300,103900,67400,Drive-thru
1827,267100,103900,78600,Drive-thru
1828,240400,103900,79600,Drive-thru
1829,238900,103900,80900,Drive-thru
1830,232200,103900,65300,Drive-thru
1831,240700,103900,66300,Drive-thru
1832,202400,103900,59700,Drive-thru
1833,210900,103900,66000,Drive-thru
1834,218400,103900,69400,Drive-thru
1835,175400,103900,70700,Drive-thru
1836,290100,104000,80400,Drive-thru
1837,234600,103900,70600,Drive-thru
1838,199200,103900,51300,Drive-thru
1839,241800,103900,79800,Drive-thru
1840,204500,104000,64800,Drive-thru
1841,231900,103900,62600,Drive-thru
1842,186900,103900,67800,Drive-thru
1843,220500,103900,66700,Drive-thru
1844,160200,103900,56100,Drive-thru
1845,255800,103900,80600,Drive-thru
1846,208600,104000,75200,Drive-thru
1847,239200,103900,77200,Drive-thru
1848,251600,103900,83400,Drive-thru
1849,179300,103900,65700,Drive-thru
1850,232600,103900,68000,Drive-thru
1851,157200,103900,57900,Drive-thru
1852,170900,103900,58200,Drive-thru
1853,216700,103900,67900,Drive-thru
1854,215500,103900,63600,Drive-thru
1855,167300,104000,48800,Drive-thru
1856,261800,103900,96100,Drive-thru
1857,177200,103900,58600,Drive-thru
1858,186400,103900,64700,Drive-thru
1859,190300,104000,71400,Drive-thru
1860,224000,103900,74100,Drive-thru
1861,229600,103900,68300,Drive-thru
1862,206100,103900,63500,Drive-thru
1863,221500,103900,63500,Drive-thru
1864,183300,103900,51000,Drive-thru
1865,208300,103900,63100,Drive-thru
1866,230800,103900,64000,Drive-thru
1867,220000,103900,70700,Drive-thru
1868,233100,103900,79700,Drive-thru
1869,171100,104000,52800,Drive-thru
1870,223500,103900,67700,Drive-thru
1871,194800,103900,46800,Drive-thru
1872,236000,103900,79900,Drive-thru
1873,241800,103900,77100,Drive-thru
1874,211100,103900,57300,Drive-thru
1875,217500,103900,68800,Drive-thru
1876,189100,103900,60200,Drive-thru
1877,198600,103900,63000,Drive-thru
1878,227500,103900,65300,Drive-thru
1879,195200,103900,62900,Drive-thru
1880,229600,103900,80500,Drive-thru
1881,218900,103900,61200,Drive-thru
1882,231600,103900,66700,Drive-thru
1883,193900,103900,62700,Drive-thru
1884,260700,103900,86400,Drive-thru
1885,206400,103900,76700,Drive-thru
1886,246600,103900,71800,Drive-thru
1887,223000,103900,74400,Drive-thru
1888,260600,104000,76500,Drive-thru
1889,302800,103900,83800,Drive-thru
1890,178400,103900,57600,Drive-thru
1891,212400,103900,72600,Drive-thru
1892,215900,103900,62700,Drive-thru
1893,217900,103900,66700,Drive-thru
1894,280300,104000,92700,Drive-thru
1895,220900,103900,57400,Drive-thru
1896,213900,103900,74900,Drive-thru
1897,213600,103900,59400,Drive-thru
1898,252300,103900,80600,Drive-thru
1899,271900,103900,82500,Drive-thru
1900,265600,103900,73600,Drive-thru
1901,220800,103900,54300,Drive-thru
1902,268200,103900,79100,Drive-thru
1903,206500,103900,63600,Drive-thru
1904,250800,103900,85400,Drive-thru
1905,261700,103900,84600,Drive-thru
1906,259200,103900,84000,Drive-thru
1907,254800,103900,84500,Drive-thru
1908,208700,103900,71800,Drive-thru
1909,250700,103900,72200,Drive-thru
1910,272400,103900,81900,Drive-thru
1911,238200,103900,65700,Drive-thru
1912,246900,104000,81900,Drive-thru
1913,183600,103900,65000,Drive-thru
1914,213800,103900,70400,Drive-thru
1915,255500,103900,83600,Drive-thru
1916,267300,103900,83500,Drive-thru
1917,211900,103900,76200,Drive-thru
1918,198100,103900,69400,Drive-thru
1919,214200,103900,78200,Drive-thru
1920,210700,104000,70800,Drive-thru
1921,167000,103900,48500,Drive-thru
1922,256300,103900,89400,Drive-thru
1923,196700,103900,60400,Drive-thru
1924,246200,103900,85900,Drive-thru
1925,185300,103900,61600,Drive-thru
1926,202100,103900,64100,Drive-thru
1927,227400,103900,58000,Drive-thru
1928,263800,103900,70200,Drive-thru
1929,190900,103900,64100,Drive-thru
1930,228600,103900,55000,Drive-thru
1931,215300,103900,65500,Drive-thru
1932,183300,103900,61700,Drive-thru
1933,186400,104000,59900,Drive-thru
1934,261600,103900,76000,Drive-thru
1935,237400,103900,63100,Drive-thru
1936,207800,104000,73400,Drive-thru
1937,222800,104000,72500,Drive-thru
1938,280500,103900,74100,Drive-thru
1939,176400,103900,51600,Drive-thru
1940,249500,103900,68300,Drive-thru
1941,254800,103900,70500,Drive-thru
1942,203400,103900,75300,Drive-thru
1943,184600,103900,74900,Drive-thru
1944,244800,103900,72000,Drive-thru
1945,212300,103900,71800,Drive-thru
1946,190100,103900,57000,Drive-thru
1947,176900,103900,55900,Drive-thru
1948,240300,103900,74300,Drive-thru
1949,245000,103900,83400,Drive-thru
1950,214100,103900,79000,Drive-thru
1951,197200,103900,81300,Drive-thru
1952,214200,103900,76900,Drive-thru
1953,223400,103900,66800,Drive-thru
1954,200000,104000,59300,Drive-thru
1955,218500,103900,61400,Drive-thru
1956,248800,103900,75500,Drive-thru
1957,186200,103900,51800,Drive-thru
1958,183500,103900,62000,Drive-thru
1959,198800,103900,73100,Drive-thru
1960,178400,103900,59400,Drive-thru
1961,251800,103900,61300,Drive-thru
1962,194200,104000,66600,Drive-thru
1963,214000,103900,66000,Drive-thru
1964,209900,103900,73800,Drive-thru
1965,101700,103900,44700,Drive-thru
1966,227300,104000,68900,Drive-thru
1967,251700,104000,79000,Drive-thru
1968,231800,103900,66500,Drive-thru
1969,210100,103900,57900,Drive-thru
1970,233100,103900,77800,Drive-thru
1971,268600,103900,90400,Drive-thru
1972,217600,103900,68700,Drive-thru
1973,229000,104000,73400,Drive-thru
1974,227700,103900,68600,Drive-thru
1975,246200,103900,81200,Drive-thru
1976,283600,103900,78400,Drive-thru
1977,246100,103900,81100,Drive-thru
1978,237800,103900,73000,Drive-thru
1979,230600,103900,59800,Drive-thru
1980,212300,103900,66800,Drive-thru
1981,269200,103900,79400,Drive-thru
1982,235400,103900,71700,Drive-thru
1983,205000,103900,68600,Drive-thru
1984,183700,103900,66000,Drive-thru
1985,265500,103900,72100,Drive-thru
1986,216300,103900,64400,Drive-thru
1987,173700,103900,60100,Drive-thru
1988,231200,103900,73900,Drive-thru
1989,209200,103900,70800,Drive-thru
1990,269200,103900,86800,Drive-thru
1991,228700,103900,78300,Drive-thru
1992,167800,103900,57800,Drive-thru
1993,208400,103900,76300,Drive-thru
1994,287600,103900,88900,Drive-thru
1995,264600,104000,73000,Drive-thru
1996,177700,103900,62700,Drive-thru
1997,199600,103900,56300,Drive-thru
1998,207900,103900,65300,Drive-thru
1999,244500,103900,79100,Drive-thru
2000,218100,104000,68400,Drive-thru
2001,221800,103900,63200,Drive-thru
2002,239400,103900,73600,Drive-thru
2003,264300,104000,84700,Drive-thru
2004,194300,104000,61700,Drive-thru
2005,142900,103900,59300,Drive-thru
2006,199600,103900,66200,Drive-thru
2007,235700,103900,81100,Drive-thru
2008,227500,103900,62300,Drive-thru
2009,254400,103900,76400,Drive-thru
2010,212800,103900,75400,Drive-thru
2011,259000,104000,60200,Drive-thru
2012,288500,103900,97000,Drive-thru
2013,255000,103900,73400,Drive-thru
2014,229600,103900,55200,Drive-thru
2015,216300,103900,68400,Drive-thru
2016,274900,103900,87300,Drive-thru
2017,186000,104000,57200,Drive-thru
2018,197900,103900,65700,Drive-thru
2019,198600,103900,53600,Drive-thru
2020,226600,104000,69400,Drive-thru
2021,290600,103900,95100,Drive-thru
2022,243800,103900,69600,Drive-thru
2023,233900,103900,72400,Drive-thru
2024,267500,104000,69800,Drive-thru
2025,183900,104000,68100,Drive-thru
2026,209800,103900,66700,Drive-thru
2027,253900,103900,70800,Drive-thru
2028,276200,103900,71700,Drive-thru
2029,250500,103900,76100,Drive-thru
2030,230300,103900,59100,Drive-thru
2031,208500,103900,74300,Drive-thru
2032,204000,103900,68600,Drive-thru
2033,250300,103900,77500,Drive-thru
2034,189300,103900,61700,Drive-thru
2035,227900,103900,69200,Drive-thru
2036,256000,103900,83300,Drive-thru
2037,237300,103900,74400,Drive-thru
2038,234400,103900,64900,Drive-thru
2039,223000,103900,58500,Drive-thru
2040,212200,103900,63500,Drive-thru
2041,196800,103900,65600,Drive-thru
2042,262700,103900,94200,Drive-thru
2043,233100,103900,73300,Drive-thru
2044,166800,103900,58000,Drive-thru
2045,224700,103900,63600,Drive-thru
2046,150100,104000,54900,Drive-thru
2047,155300,104000,56500,Drive-thru
2048,237600,103900,71900,Drive-thru
2049,206100,103900,68000,Drive-thru
2050,228400,103900,79800,Drive-thru
2051,263600,104000,91800,Drive-thru
2052,230300,104000,74800,Drive-thru
2053,224400,103900,76200,Drive-thru
2054,252100,103900,83900,Drive-thru
2055,177000,104000,44600,Drive-thru
2056,239300,103900,66800,Drive-thru
2057,248600,103900,64400,Drive-thru
2058,232800,103900,62800,Drive-thru
2059,248200,103900,78900,Drive-thru
2060,171400,103900,59500,Drive-thru
2061,163100,103900,57800,Drive-thru
2062,262000,104000,77600,Drive-thru
2063,194200,104000,67400,Drive-thru
2064,244800,103900,80900,Drive-thru
2065,194900,103900,57300,Drive-thru
2066,171100,103900,59800,Drive-thru
2067,220800,103900,81600,Drive-thru
2068,245300,103900,63700,Drive-thru
2069,251400,103900,69400,Drive-thru
2070,222300,103900,80000,Drive-thru
2071,206900,103900,72100,Drive-thru
2072,273600,103900,93100,Drive-thru
2073,227300,103900,80500,Drive-thru
2074,220200,103900,59900,Drive-thru
2075,239400,103900,73700,Drive-thru
2076,213900,103900,72900,Drive-thru
2077,256100,103900,74600,Drive-thru
2078,232800,103900,75600,Drive-thru
2079,228400,104000,79100,Drive-thru
2080,247200,103900,82000,Drive-thru
2081,231100,103900,55600,Drive-thru
2082,203100,103900,69600,Drive-thru
2083,246800,103900,69600,Drive-thru
2084,240500,103900,67300,Drive-thru
2085,279700,103900,83400,Drive-thru
2086,228300,103900,76100,Drive-thru
2087,241800,104000,71100,Drive-thru
2088,150100,103900,48800,Drive-thru
2089,229100,104000,70600,Drive-thru
2090,253200,103900,68600,Drive-thru
2091,213600,103900,73400,Drive-thru
2092,237900,103900,65300,Drive-thru
2093,216600,103900,65900,Drive-thru
2094,214900,104000,58700,Drive-thru
2095,275700,103900,77400,Drive-thru
2096,193300,103900,60700,Drive-thru
2097,209700,104000,71800,Drive-thru
2098,218600,103900,71600,Drive-thru
2099,164800,103900,57300,Drive-thru
2100,215100,103900,72900,Drive-thru
2101,188100,103900,65500,Drive-thru
2102,193000,103900,71000,Drive-thru
2103,247200,103900,88200,Drive-thru
2104,232200,103900,64900,Drive-thru
2105,263600,103900,85300,Drive-thru
2106,217400,103900,66600,Drive-thru
2107,222200,103900,69500,Drive-thru
2108,264900,103900,77000,Drive-thru
2109,215200,103900,70000,Drive-thru
2110,219000,103900,66500,Drive-thru
2111,200200,103900,63600,Drive-thru
2112,215000,103900,74300,Drive-thru
2113,204200,103900,71100,Drive-thru
2114,290500,103900,77700,Drive-thru
2115,216300,103900,70800,Drive-thru
2116,208700,103900,77000,Drive-thru
2117,174500,103900,42900,Drive-thru
2118,165100,103900,56400,Drive-thru
2119,229700,104000,65100,Drive-thru
2120,198600,103900,55600,Drive-thru
2121,255600,103900,78800,Drive-thru
2122,301800,103900,81400,Drive-thru
2123,200600,103900,57200,Drive-thru
2124,268300,103900,79100,Drive-thru
2125,210100,104000,62500,Drive-thru
2126,197500,104000,77800,Drive-thru
2127,243500,103900,77600,Drive-thru
2128,268500,104000,89600,Drive-thru
2129,193700,103900,62700,Drive-thru
2130,208100,103900,64000,Drive-thru
2131,172800,103900,51100,Drive-thru
2132,212700,103900,62900,Drive-thru
2133,182200,103900,63000,Drive-thru
2134,221000,103900,78100,Drive-thru
2135,292300,103900,89300,Drive-thru
2136,254400,104000,74600,Drive-thru
2137,215300,103900,73100,Drive-thru
2138,208300,103900,75700,Drive-thru
2139,223500,103900,76200,Drive-thru
2140,262800,103900,78100,Drive-thru
2141,282800,103900,81700,Drive-thru
2142,265700,103900,81700,Drive-thru
2143,263000,103900,60700,Drive-thru
2144,195500,103900,61000,Drive-thru
2145,289100,103900,102200,Drive-thru
2146,233000,103900,69500,Drive-thru
2147,220900,103900,71800,Drive-thru
2148,210500,103900,73500,Drive-thru
2149,198300,104000,62500,Drive-thru
2150,178700,104000,68800,Drive-thru
2151,258200,103900,73300,Drive-thru
2152,165800,103900,51400,Drive-thru
2153,186400,104000,61900,Drive-thru
2154,224200,103900,68700,Drive-thru
2155,192800,103900,77400,Drive-thru
2156,183800,103900,61300,Drive-thru
2157,188300,103900,66200,Drive-thru
2158,207100,103900,66700,Drive-thru
2159,200800,104000,68500,Drive-thru
2160,239800,103900,80800,Drive-thru
2161,206400,103900,74300,Drive-thru
2162,230500,103900,68000,Drive-thru
2163,212000,103900,79200,Drive-thru
2164,249100,103900,72800,Drive-thru
2165,271800,103900,78400,Drive-thru
2166,230700,103900,75500,Drive-thru
2167,228400,103900,75700,Drive-thru
2168,247900,103900,72400,Drive-thru
2169,207400,103900,70500,Drive-thru
2170,181900,103900,48200,Drive-thru
2171,267200,103900,93200,Drive-thru
2172,238100,103900,76100,Drive-thru
2173,245900,103900,72700,Drive-thru
2174,211100,103900,61700,Drive-thru
2175,271000,103900,81000,Drive-thru
2176,165700,103900,58100,Drive-thru
2177,215200,103900,72300,Drive-thru
2178,251300,103900,82200,Drive-thru
2179,230800,103900,79200,Drive-thru
2180,246300,103900,70400,Drive-thru
2181,256700,103900,75900,Drive-thru
2182,236700,103900,75900,Drive-thru
2183,172400,103900,53000,Drive-thru
2184,225800,104000,71200,Drive-thru
2185,204100,103900,72000,Drive-thru
2186,265500,103900,77500,Drive-thru
2187,260200,103900,80800,Drive-thru
2188,191200,104000,56500,Drive-thru
2189,179600,104000,61800,Drive-thru
2190,237400,103900,71600,Drive-thru
2191,243300,103900,76700,Drive-thru
2192,209100,103900,72400,Drive-thru
2193,212100,103900,76300,Drive-thru
2194,184900,103900,52400,Drive-thru
2195,217300,103900,60300,Drive-thru
2196,220300,103900,62800,Drive-thru
2197,231000,103900,70300,Drive-thru
2198,203000,104000,60400,Drive-thru
2199,224700,103900,65300,Drive-thru
2200,206800,103900,59700,Drive-thru
2201,212600,103900,69800,Drive-thru
2202,267500,103900,80300,Drive-thru
2203,234600,103900,81500,Drive-thru
2204,225800,103900,65500,Drive-thru
2205,212800,104000,65400,Drive-thru
2206,204000,103900,69100,Drive-thru
2207,280500,103900,95000,Drive-thru
2208,234900,103900,62000,Drive-thru
2209,192600,103900,58800,Drive-thru
2210,199600,103900,52800,Drive-thru
2211,200900,103900,58400,Drive-thru
2212,173600,103900,62100,Drive-thru
2213,168300,103900,40100,Drive-thru
2214,226900,104000,62900,Drive-thru
2215,184500,103900,65100,Drive-thru
2216,246400,104000,80500,Drive-thru
2217,155400,104000,53600,Drive-thru
2218,246700,103900,84100,Drive-thru
2219,155600,103900,64500,Drive-thru
2220,206500,103900,64200,Drive-thru
2221,271300,103900,80900,Drive-thru
2222,237400,103900,75400,Drive-thru
2223,248900,103900,69300,Drive-thru
2224,239100,103900,67700,Drive-thru
2225,240900,103900,67800,Drive-thru
2226,248000,103900,72400,Drive-thru
2227,224500,103900,68400,Drive-thru
2228,247100,103900,70800,Drive-thru
2229,265300,103900,86200,Drive-thru
2230,229400,103900,69000,Drive-thru
2231,214600,103900,68600,Drive-thru
2232,182100,103900,61800,Drive-thru
2233,198500,104000,60800,Drive-thru
2234,205800,103900,60900,Drive-thru
2235,217800,103900,68700,Drive-thru
2236,240800,103900,68700,Drive-thru
2237,245200,103900,74200,Drive-thru
2238,258300,103900,86300,Drive-thru
2239,273300,104000,81600,Drive-thru
2240,197700,103900,54800,Drive-thru
2241,263200,103900,82800,Drive-thru
2242,268200,103900,74600,Drive-thru
2243,239200,103900,74800,Drive-thru
2244,252100,103900,86400,Drive-thru
2245,201500,103900,75200,Drive-thru
2246,271300,103900,89900,Drive-thru
2247,258700,103900,89300,Drive-thru
2248,250600,104000,63900,Drive-thru
2249,227400,103900,73200,Drive-thru
2250,227000,103900,69800,Drive-thru
2251,250200,103900,77600,Drive-thru
2252,219200,103900,77900,Drive-thru
2253,224100,103900,65000,Drive-thru
2254,214600,103900,66300,Drive-thru
2255,239700,104000,86000,Drive-thru
2256,265900,103900,78800,Drive-thru
2257,222100,103900,82600,Drive-thru
2258,218800,103900,74200,Drive-thru
2259,247200,103900,81700,Drive-thru
2260,220700,103900,78200,Drive-thru
2261,206500,103900,51400,Drive-thru
2262,198600,103900,51400,Drive-thru
2263,260700,103900,89000,Drive-thru
2264,180700,103900,59100,Drive-thru
2265,247700,104000,69300,Drive-thru
2266,210600,103900,67800,Drive-thru
2267,187800,103900,69100,Drive-thru
2268,192600,103900,77600,Drive-thru
2269,225000,103900,72900,Drive-thru
2270,253600,103900,78600,Drive-thru
2271,234900,103900,68000,Drive-thru
2272,242400,103900,63800,Drive-thru
2273,238600,103900,82500,Drive-thru
2274,231300,103900,75900,Drive-thru
2275,233100,103900,70500,Drive-thru
2276,241000,103900,57300,Drive-thru
2277,245900,103900,84200,Drive-thru
2278,233800,103900,73100,Drive-thru
2279,232200,103900,71100,Drive-thru
2280,225100,103900,69100,Drive-thru
2281,226200,103900,69100,Drive-thru
2282,156700,103900,68000,Drive-thru
2283,237500,103900,74100,Drive-thru
2284,218900,103900,75400,Drive-thru
2285,194700,103900,75100,Drive-thru
2286,207000,103900,73500,Drive-thru
2287,195900,103900,58300,Drive-thru
2288,200900,103900,68000,Drive-thru
2289,186800,103900,67200,Drive-thru
2290,213200,103900,60600,Drive-thru
2291,234700,103900,79600,Drive-thru
2292,241100,103900,57700,Drive-thru
2293,226800,103900,66400,Drive-thru
2294,207500,103900,70100,Drive-thru
2295,195700,103900,60700,Drive-thru
2296,204700,103900,64000,Drive-thru
2297,227000,103900,85200,Drive-thru
2298,216800,103900,76100,Drive-thru
2299,231700,104000,64200,Drive-thru
2300,215100,103900,71800,Drive-thru
2301,225100,103900,78300,Drive-thru
2302,207200,103900,59600,Drive-thru
2303,180200,104000,76600,Drive-thru
2304,198000,103900,70800,Drive-thru
2305,221800,103900,75100,Drive-thru
2306,206200,103900,63300,Drive-thru
2307,249400,104000,73500,Drive-thru
2308,224800,103900,78100,Drive-thru
2309,228900,103900,69500,Drive-thru
2310,198900,103900,56400,Drive-thru
2311,206400,103900,62700,Drive-thru
2312,231400,103900,74100,Drive-thru
2313,344400,104000,97100,Drive-thru
2314,232200,103900,67100,Drive-thru
2315,218400,103900,68500,Drive-thru
2316,244400,103900,69400,Drive-thru
2317,194000,103900,68300,Drive-thru
2318,160300,103900,58300,Drive-thru
2319,223300,103900,61500,Drive-thru
2320,240600,103900,65500,Drive-thru
2321,159300,104000,58000,Drive-thru
2322,237200,103900,76900,Drive-thru
2323,191500,103900,59900,Drive-thru
2324,209200,104000,65700,Drive-thru
2325,231300,103900,69400,Drive-thru
2326,222200,103900,81700,Drive-thru
2327,232100,103900,86400,Drive-thru
2328,227500,103900,78800,Drive-thru
2329,206000,103900,88400,Drive-thru
2330,232500,103900,59900,Drive-thru
2331,211800,103900,72900,Drive-thru
2332,234800,103900,67700,Drive-thru
2333,226400,103900,69100,Drive-thru
2334,256800,103900,72800,Drive-thru
2335,175900,103900,52100,Drive-thru
2336,176100,103900,66200,Drive-thru
2337,232900,103900,65500,Drive-thru
2338,199400,104000,70000,Drive-thru
2339,231300,103900,68400,Drive-thru
2340,215700,103900,76600,Drive-thru
2341,248500,103900,75800,Drive-thru
2342,246900,103900,68600,Drive-thru
2343,198300,103900,65900,Drive-thru
2344,203400,103900,58300,Drive-thru
2345,216000,103900,64000,Drive-thru
2346,217000,103900,72500,Drive-thru
2347,231200,103900,59100,Drive-thru
2348,236100,103900,71200,Drive-thru
2349,245600,103900,81700,Drive-thru
2350,264300,103900,71200,Drive-thru
2351,235300,103900,79600,Drive-thru
2352,258200,103900,61900,Drive-thru
2353,189400,103900,59600,Drive-thru
2354,206400,103900,58100,Drive-thru
2355,190800,103900,52000,Drive-thru
2356,262300,103900,91900,Drive-thru
2357,217600,103900,71600,Drive-thru
2358,256300,103900,68800,Drive-thru
2359,212800,103900,63900,Drive-thru
2360,220500,103900,74200,Drive-thru
2361,241500,103900,77500,Drive-thru
2362,272200,103900,73200,Drive-thru
2363,134500,104000,63800,Drive-thru
2364,201900,103900,55300,Drive-thru
2365,216900,103900,74700,Drive-thru
2366,217900,103900,73900,Drive-thru
2367,242900,103900,72200,Drive-thru
2368,231600,103900,71000,Drive-thru
2369,293500,103900,98000,Drive-thru
2370,220800,103900,60500,Drive-thru
2371,263600,103900,78200,Drive-thru
2372,183100,104000,57100,Drive-thru
2373,185600,103900,58200,Drive-thru
2374,240500,103900,78200,Drive-thru
2375,260100,103900,86200,Drive-thru
2376,221800,103900,60400,Drive-thru
2377,220300,103900,72400,Drive-thru
2378,240600,103900,67000,Drive-thru
2379,207200,103900,75400,Drive-thru
2380,219800,103900,71000,Drive-thru
2381,198000,103900,61700,Drive-thru
2382,256400,104000,73100,Drive-thru
2383,191600,103900,55600,Drive-thru
2384,205500,103900,70800,Drive-thru
2385,207700,103900,57900,Drive-thru
2386,216500,103900,66700,Drive-thru
2387,122900,104000,50100,Drive-thru
2388,236800,103900,74400,Drive-thru
2389,208300,103900,58500,Drive-thru
2390,232000,103900,67400,Drive-thru
2391,205300,103900,71600,Drive-thru
2392,208100,104000,53000,Drive-thru
2393,212400,103900,58500,Drive-thru
2394,262200,103900,84600,Drive-thru
2395,268100,103900,84400,Drive-thru
2396,265800,103900,73200,Drive-thru
2397,268200,103900,78800,Drive-thru
2398,230200,104000,73600,Drive-thru
2399,267900,103900,94600,Drive-thru
2400,216500,103900,76800,Drive-thru
2401,226400,103900,70200,Drive-thru
2402,251300,104000,67800,Drive-thru
2403,217400,103900,77600,Drive-thru
2404,223800,104000,81800,Drive-thru
2405,238500,103900,71000,Drive-thru
2406,254400,104000,70900,Drive-thru
2407,238000,103900,71600,Drive-thru
2408,181200,103900,69100,Drive-thru
2409,288900,103900,85500,Drive-thru
2410,272700,103900,84500,Drive-thru
2411,266800,103900,70000,Drive-thru
2412,264900,103900,62000,Drive-thru
2413,242900,103900,71300,Drive-thru
2414,192900,103900,65200,Drive-thru
2415,269400,103900,92100,Drive-thru
2416,217100,104000,68800,Drive-thru
2417,211500,103900,58900,Drive-thru
2418,241400,103900,94000,Drive-thru
2419,210200,103900,65800,Drive-thru
2420,268400,103900,80100,Drive-thru
2421,203500,103900,75400,Drive-thru
2422,234500,103900,72800,Drive-thru
2423,291400,103900,89100,Drive-thru
2424,266300,104000,77900,Drive-thru
2425,235900,103900,70700,Drive-thru
2426,196400,103900,66600,Drive-thru
2427,207600,103900,74300,Drive-thru
2428,268000,103900,80500,Drive-thru
2429,221300,103900,69200,Drive-thru
2430,234300,103900,78400,Drive-thru
2431,277200,103900,81200,Drive-thru
2432,238200,103900,83000,Drive-thru
2433,228400,103900,68400,Drive-thru
2434,253800,104000,78500,Drive-thru
2435,236300,103900,62000,Drive-thru
2436,257900,103900,66800,Drive-thru
2437,167400,103900,54000,Drive-thru
2438,180700,103900,65000,Drive-thru
2439,231300,103900,62800,Drive-thru
2440,221200,103900,63200,Drive-thru
2441,234900,103900,83100,Drive-thru
2442,196100,103900,72900,Drive-thru
2443,286600,103900,88900,Drive-thru
2444,245100,103900,84600,Drive-thru
2445,246700,104000,67000,Drive-thru
2446,150200,103900,58300,Drive-thru
2447,293200,103900,80700,Drive-thru
2448,209900,103900,72800,Drive-thru
2449,174300,103900,64000,Drive-thru
2450,238500,103900,81600,Drive-thru
2451,239100,104000,81400,Drive-thru
2452,254800,103900,74600,Drive-thru
2453,260400,103900,83200,Drive-thru
2454,145900,103900,46300,Drive-thru
2455,225000,103900,74700,Drive-thru
2456,256300,103900,69900,Drive-thru
2457,245300,104000,76500,Drive-thru
2458,275700,103900,90400,Drive-thru
2459,236200,103900,69400,Drive-thru
2460,213300,103900,61700,Drive-thru
2461,270200,103900,78100,Drive-thru
2462,221200,103900,76200,Drive-thru
2463,201300,103900,69700,Drive-thru
2464,217500,103900,65000,Drive-thru
2465,242800,103900,89000,Drive-thru
2466,258400,104000,73600,Drive-thru
2467,226600,103900,81300,Drive-thru
